Site,Date,Stage_ft,Discharge_cfs
SanSaba,1/1/2008,2.72,433
SanSaba,1/2/2008,2.72,429
SanSaba,1/3/2008,2.85,508
SanSaba,1/4/2008,2.9,538
SanSaba,1/5/2008,2.9,540
SanSaba,1/6/2008,2.91,549
SanSaba,1/7/2008,2.91,549
SanSaba,1/8/2008,2.95,572
SanSaba,1/9/2008,2.97,587
SanSaba,1/10/2008,3.02,628
SanSaba,1/11/2008,2.98,597
SanSaba,1/12/2008,2.91,552
SanSaba,1/13/2008,2.9,551
SanSaba,1/14/2008,2.86,528
SanSaba,1/15/2008,2.85,526
SanSaba,1/16/2008,2.86,531
SanSaba,1/17/2008,2.85,527
SanSaba,1/18/2008,2.85,530
SanSaba,1/19/2008,2.87,539
SanSaba,1/20/2008,2.91,565
SanSaba,1/21/2008,2.93,577
SanSaba,1/22/2008,2.93,580
SanSaba,1/23/2008,3.05,663
SanSaba,1/24/2008,3.07,675
SanSaba,1/25/2008,2.97,613
SanSaba,1/26/2008,2.76,484
SanSaba,1/27/2008,2.87,554
SanSaba,1/28/2008,2.8,515
SanSaba,1/29/2008,2.83,532
SanSaba,1/30/2008,2.64,420
SanSaba,1/31/2008,2.74,478
SanSaba,2/1/2008,2.71,468
SanSaba,2/2/2008,2.86,554
SanSaba,2/3/2008,2.87,564
SanSaba,2/4/2008,2.97,627
SanSaba,2/5/2008,2.98,640
SanSaba,2/6/2008,2.9,586
SanSaba,2/7/2008,3.09,716
SanSaba,2/8/2008,2.87,566
SanSaba,2/9/2008,2.9,591
SanSaba,2/10/2008,2.99,652
SanSaba,2/11/2008,2.85,567
SanSaba,2/12/2008,3.08,710
SanSaba,2/13/2008,3,660
SanSaba,2/14/2008,3.01,672
SanSaba,2/15/2008,3,666
SanSaba,2/16/2008,3.1,740
SanSaba,2/17/2008,3.08,725
SanSaba,2/18/2008,3.17,782
SanSaba,2/19/2008,2.94,630
SanSaba,2/20/2008,2.81,549
SanSaba,2/21/2008,2.85,576
SanSaba,2/22/2008,3.01,680
SanSaba,2/23/2008,2.93,629
SanSaba,2/24/2008,2.95,645
SanSaba,2/25/2008,2.93,631
SanSaba,2/26/2008,2.89,607
SanSaba,2/27/2008,2.88,603
SanSaba,2/28/2008,2.89,616
SanSaba,2/29/2008,2.94,648
SanSaba,3/1/2008,2.96,664
SanSaba,3/2/2008,2.99,682
SanSaba,3/3/2008,3,695
SanSaba,3/4/2008,3.21,852
SanSaba,3/5/2008,3.2,839
SanSaba,3/6/2008,3.11,767
SanSaba,3/7/2008,2.99,697
SanSaba,3/8/2008,3.11,777
SanSaba,3/9/2008,3.02,717
SanSaba,3/10/2008,3.23,873
SanSaba,3/11/2008,4.15,1680
SanSaba,3/12/2008,3.67,1230
SanSaba,3/13/2008,3.29,916
SanSaba,3/14/2008,3.18,838
SanSaba,3/15/2008,3.14,804
SanSaba,3/16/2008,3.08,771
SanSaba,3/17/2008,3.09,780
